Alpheus Colles,633.03,-39.38,61.53,"From albedo feature at 45S
Al-Qahira Vallis,600,-18.23,162.41,"Word for 'Mars' in Arabic
Amazonis,0,0,220,"Land of the Amazons; on the island Hesperia."
Amazonis Mensa,414.04,-1.98,213.1,"Classical albedo feature name."
Amazonis Planitia,2809.04,25.75,197.09,"Classical albedo feature name; home of the Amazons."
Amazonis Sulci,250.59,-2.15,216.29,"Albedo feature name; home of the Amazons."
Amenthes,0,4.94,110,"Egyptian name for place where souls of the dead go."
Amenthes Cavi,1330.5,16.23,114.52,"Classical albedo feature name."
Amenthes Fossae,850,9.07,102.68,"Classical albedo feature name."
Amenthes Planum,0,3.4,105.92,"Classical albedo feature name."
Amenthes Rupes,335.25,1.51,110.68,"Classical albedo feature name."
[Amet],0,23.45,302.6,"Town in India."
[Ammonii Rupes],100,-6.52,175.8,"Named for albedo feature at 6S
Amphitrites Patera,129.8,-58.7,60.87,"Mare Amphitrites; classical albedo feature name."
Amsterdam,1.66,23,313,"Dutch port."
Angu,2.08,20.01,105.64,"Town in Zaire."
[Angusta Patera],15.4,-80.59,280.5,"Classical albedo name. Name dropped Sept. 2006 because feature was incorrectly named."
Angustus Labyrinthus,67.52,-81.62,296.61, 2006"
Aniak,50.97,-31.84,290.44,"Town in Alaska
Anio Valles,54,37.75,55.89,"Classical river in Italy; modern Aniene and Teverone rivers."
Annapolis,1.11,23.16,312.27,"American colonial town (Maryland)."
[Anseris Cavus],35,-29.71,95.5,"Named for albedo feature Anseris Fons. Same feature as Peraea Cavus."
Anseris Mons,52.51,-29.81,86.65,"From albedo feature Anseris Fons."
Antoniadi,400.95,21.38,60.83,"Eugène Michael; Turkish-born French astronomer (1870-1944)."
Aonia Mons,27.07,-53.33,272.08, 2013"
Aonia Planum,563.45,-57.9,281.33,"Classical albedo feature name."
Aonia Terra,3873.48,-60.2,262.95,"Classical albedo feature name."
Aonia Tholus,53.69,-59.04,279.96, 2013"
Aonium Sinus,0,-44.66,255,"Named for Aonides
Apia,10.06,-37.28,89.02,"Town in Samoa."
[Apodis Catena],0,-26.93,103.2,"Classical albedo name."
Apollinaris Mons,275.4,-9.17,174.79, 2007"
Apollinaris Patera,89.6,-8.57,174.18,"Classical albedo feature name."
Apollinaris Sulci,188.64,-11.06,177.47,"Albedo feature at 5S
Apollinaris Tholus,32.39,-17.64,175.75,"Albedo feature name."
Apsus Vallis,121.56,34.91,134.99,"Classical river in ancient Macedonia
Apt,9.57,39.88,350.53,"Town in France."
Arabia,0,19.78,30,"Country bordering on Aeria (Egypt)."
Arabia Terra,4851.74,21.25,5.72,"Classical albedo feature name."
Arago,152.35,10.22,29.93,"Dominique F.; French astronomer (1786-1853)."
Aram Chaos,283.81,2.52,337.61,"Classical albedo feature name."
Aram Dorsum,83.31,7.8,348.76, 2014"
Arandas,24.76,42.41,344.97,"Town in Mexico."
Arcadia,0,44.66,260,"Mountainous region in southern Greece."
Arcadia Dorsa,1952.65,55.9,222.44,"Named for classical albedo feature at 45N
Arcadia Planitia,1871.97,47.19,184.31,"From classical albedo feature at 45N
Arda Valles,173.67,-20.4,327.69,"Ancient European river (Bulgaria)."
Arena Colles,580.12,24.63,82.93,"Classical albedo feature at 13N
Arena Dorsum,372.03,12.71,68.94,"Classical albedo feature name."
[Arena Rupes],375,13.35,70.5,"Name changed in 1982 to Arnus Vallis."
Ares Vallis,1757.67,10.29,334.39,"Word for 'Mars' in Greek."
Argas,3.55,23.33,309.83,"Town in Russia."
Argentea Planum,1370.64,-72.49,298.33,"Classical albedo feature name."
Argyre,0,-44.66,335,"""Silver"" Island at mouth of Ganges River; present-day Arakan
Argyre Cavi,72.33,-48.31,319.88,"Albedo name."
Argyre Mons,60.58,-50.37,311.91, 2014"
Argyre Planitia,892.93,-49.84,316.69,"Classical albedo feature name."
Argyre Rupes,335.42,-62.15,291.25,"Classical albedo feature name."
Ariadnes Colles,188.01,-34.5,172.78,"Classical albedo feature name."
Arica,15.77,-23.8,110.24,"Town in Colombia."
Arima,53.59,-15.84,296.32, 2012"
Arimanes Rupes,192.67,-9.84,212.3,"Albedo feature; classical Persian deity of wickedness."
Arkhangelsky,116.83,-41.09,335.21,"A.D.; Russian geologist."
Arnon,0,47.66,25,"Classical name for present El-Mojib River
Arnus Vallis,311.61,13.97,70.61,"Classical and present day Arno River in Tuscany
Aromatum Chaos,72.8,-1.03,317.03,"Classical albedo feature name."
Arrhenius,122.72,-40.04,122.71,"Svante; Swedish physical chemist (1859-1927)."
Arsia Chasmata,97.06,-7.47,240.65,"Albedo name."
Arsia Mons,470,-8.26,239.91,"Arsia Silva-classical albedo feature name."
Arsia Sulci,500,-6.29,230.19,"Albedo name."
Arsinoes Chaos,200.08,-7.66,332.08,"Daughter of Ptolomy Lagun and Bernice."
Arta,3.96,21.38,305.71,"Town in Russia."
Artik,5.36,-34.8,130.98, 2013"
Artynia Catena,279.28,47.69,240.55,"Named for classical albedo feature at 54N
Asau,25.05,-3.63,154.68, 2013"
Ascraeus Chasmata,105.2,8.77,254.37,"Classical albedo name."
Ascraeus Mensa,34.86,11.72,252.11,"Classical albedo name."
Ascraeus Mons,456.4,11.92,255.92,"Ascraeus Lacus-classical albedo feature name."
Ascraeus Sulci,138.7,12.06,251.25,"Classical albedo name."
Ascuris Planum,617.66,40.59,279.22,"Classical albedo name."
Asimov,80.82,-46.97,4.93, 2009"
Asopus Vallis,40.82,-4.29,210.39,"Classical name for modern Hagios River
Aspen,18.48,-21.39,336.85,"Town in Colorado
Aspledon Undae,215.2,73.06,309.65, 2007"
Astapus Colles,597,35.46,88.08,"From albedo feature at 35N
Athabasca Valles,270,8.54,155.01,"River in Canada. (Changed from Athabasca Vallis.)"
Atlantis Chaos,181.37,-34.28,182.69,"From albedo feature at 30N
[Atrax Dorsum],33.86,38.19,271,"Classical town."
Atrax Fossa,34.42,38.19,271.02, 2014"
Auce,37.01,-27.17,80.14, 2014"
Auki,40,-15.76,96.87, 2015"
Auqakuh Vallis,347,30.25,60.41,"Word for 'Mars' in Quechua (Inca)."
Aureum Chaos,351.03,-3.89,333.04,"Classical albedo feature name."
Aurorae Chaos,713.92,-8.47,325.19,"Classical albedo name."
Aurorae Planum,564.49,-10.41,311.38,"Classical albedo feature name."
Aurorae Sinus,0,-14.83,310,"""Bay of Rosy Dawn""; Aurora held back the dawn."
Ausonia,0,-39.67,110,"Country of the Aruncii (Ausones in Greek)."
Ausonia Cavus,49.5,-31.92,96.55,"Albedo feature Ausonia."
Ausonia Mensa,102.51,-30.02,97.72,"Albedo feature name."
Ausonia Montes,333.13,-25.42,99.04,"Albedo feature name."
Australe Lingula,436.33,-84.05,68.56,"Classical albedo feature name."
Australe Mensa,172,-86.88,357.24,"Classical albedo feature name."
Australe Montes,411.67,-80.19,14.05,"Classical albedo feature name."
Australe Scopuli,504.58,-83.48,247.06,"Classical albedo feature name."
Australe Sulci,357.91,-84.99,133.06,"Classical albedo feature name."
[Australis Patera],12.7,-80.09,308.3,"Classical albedo name. Name dropped Sept. 2006 because feature was incorrectly named."
[Australis Tholus],40,-58.7,37,"Classical albedo feature name; dropped in 1978."
Auxo Dorsum,82.05,-55.72,318.24,"One of the Graces."
Avarua,49.99,-35.93,109.66, 2010"
Aveiro,9.11,21.28,281.03,"Town in Portugal."
Avernus Cavi,115,-3.72,172.52,"Named for albedo feature at 10S
Avernus Colles,238.7,-1.73,171.02,"Named for albedo feature at 10S
Avernus Dorsa,296.59,-6.03,170.9,"From albedo feature at 4S
Avernus Rupes,223.32,-9.2,172.8,"From albedo feature Avernus at 10S
Avire,6.85,-40.82,200.24, 2008"
Axius Valles,435.95,-54.53,70.72,"Ancient European River (Vardar River of Greece)."
Ayacucho,2.59,38.18,267.97,"Town in Bolivia."
Ayr,12.74,-38.98,91.58,"Town in Queensland
Azul,19.53,-42.07,317.49,"Town in Argentina."
Azusa,39.25,-5.48,319.68,"Town in California
Babakin,76.66,-36,288.56,"Soviet builder of unmanned space stations (1914-1970)."
Bacht,7.86,18.66,102.7,"Town in Uzbekistan."
Bacolor,21.58,32.99,118.6,"Town in the Philippines."
Bada,2.52,20.35,309.31,"Town in Russia."
Badwater,33.14,-32.79,62.14, 2015"
Baetis Chaos,66.66,-0.17,299.6,"Classical albedo feature name."
Baetis Chasma,92.21,-4.29,295.13,"From classical albedo feature at 5S
Baetis Mensa,181.1,-5.17,287.55,"From albedo feature at 7S
Bahn,11.93,-3.5,316.68,"Town in Liberia."
Bahram Vallis,269.68,20.42,302.86,"Word for 'Mars' in Persian."
Bak,3.13,18.05,103.78,"Town in Hungary."
Bakhuysen,152.9,-22.97,15.73,"Hendrik G.; Dutch astronomer (1838-1923)."
Balboa,21.95,-3.82,326.12,"Town in the Republic of Panama
Baldet,181.31,22.76,65.48,"Fernand; French astronomer (1885-1964)."
Balta,17.28,-23.82,333.45,"Town in Ukraine."
Baltia,0,59.71,310,"Name of large island in northern Europe where amber was found."
Baltisk,50.75,-42.27,305.34,"Town in Russia."
Balvicar,20.35,16.2,306.76,"Town in Scotland."
Bamba,22.57,-3.36,318.41,"Town in Zaire."
Bamberg,55.7,39.71,356.9,"Town in Germany."
Banff,5,17.51,329.29,"Town in Alberta
Banh,14.4,19.42,304.5,"Town in Burkina Faso (formerly Upper Volta)."
Baphyras Catena,95.52,38.83,275.84,"Classical river."
Bar,2.06,-25.25,340.5,"Town in Ukraine."
Barabashov,120.67,47.33,291.25,"Nikolay P.; Russian astronomer (1894-1971)."
Barnard,121.11,-61.06,61.59,"Edward E.; American astronomer (1857-1923)."
Baro,16.93,-24.8,110.7,"Town in Nigeria."
Barsukov,68.45,7.97,330.98,"Valery L.; Soviet geochemist and planetologist (1928-1992)."
Bashkaus Valles,246.93,-25.68,356.74, 2013"
Basin,15.53,17.82,107,"Town in Wyoming
[Bathys Planum],626,-42.66,254,"Classical albedo feature; name changed to Icaria Planum."
Batoka,14.96,-7.55,323.35,"Town in Zambia."
Batoş,17.33,21.5,330.5,"Town in Romania."
Baucau,17.94,-28.37,304.9, 2012"
Baykonyr,3.9,46.41,132.68,"Soviet launch site."
Bazas,16.43,-27.78,93.38,"Town in France."
Becquerel,165.23,21.89,352.06,"Antoine H.; French physicist (1852-1908)."
Beer,85.5,-14.47,351.83,"Wilhelm; German astronomer (1797-1850)."
Beloha,31.74,-39.58,56.71,"Town in Madagascar."
Beltra,7.17,18.01,102.4,"Town in Ireland."
Belyov,0.2,-45.02,201.99, 2013"
Belz,10.21,21.57,316.77,"Town in Ukraine."
Bend,3.7,-22.4,332.26,"Town in Oregon
Bentham,11.36,-55.78,319.45,"Town in England."
Bentong,10.32,-22.31,340.96,"Town in Malaysia."
Bernard,128.1,-23.24,205.79,"P.; French atmospheric scientist."
Berseba,36.83,-4.4,322.4,"Town in Namibia."
Beruri,45.12,5.27,81.24, 2006"
Betio,32.44,-23.13,281.35, 2013"
Bhor,5.73,41.75,134.53,"Town in India."
Bianchini,70.71,-63.85,264.71,"Francesco; Italian astronomer (1662-1729)."
Biblis Patera,53.65,2.36,236.18,"Classical albedo feature name."
Biblis Tholus,168.6,2.52,235.62, 2007"
Bigbee,20.86,-24.78,325.25,"Town in Mississippi
Bira,2.7,25.1,314.46,"Town in Russia."
Bise,9.21,20.22,303.17,"Town in Okinawa."
Bison,15.28,-26.31,330.85,"Town in Kansas
Bjerknes,88.64,-43.01,171.48,"Vilhelm F.; Norwegian physicist (1862-1951)."
Bland,6.63,18.3,108.76,"Town in Missouri
Bled,7.69,21.58,328.54,"Town in Slovenia."
Blitta,12.95,-25.9,339.04,"Town in Togo."
Blois,11.58,23.6,304.15,"Town in France."
Bluff,6.75,23.47,110.03,"Town in New Zealand."
Blunck,66.49,-27.23,323.1, 2013"
Boeddicker,107.12,-14.82,162.49,"Otto; German astronomer (1853-1937)."
Bogia,37.68,-44.31,83.27, 2008"
Bogra,21.31,-24.16,331.2,"Town in Bangladesh."
Bok,7.34,20.58,328.4,"Town in New Guinea."
Bole,8.54,25.35,306.01,"Town in Ghana."
Bombala,37.14,-27.6,106.13,"Town in New S. Wales
Bond,104.69,-32.79,324.06,"George P.; American astronomer (1825-1865)."
Bonestell,40.67,42,329.61,"Chesley; American space artist (1888-1986)."
Boola,17.25,81.26,254.81,"Town in Guinea."
Bopolu,18.89,-2.96,353.7, 2006"
Bor,4.28,18.17,326.32,"Town in Russia."
Bordeaux,2.01,23.13,311.11,"French port."
Boreales Scopuli,1.13,88.88,269.84,"Classical albedo feature name."
Boreosyrtis,0,54.68,70,"Northern continuation of Nilosyrtis; ""Syrtis of the north."""
Boreum Cavus,62.13,84.64,339.85,"Classical albedo feature name."
Boru,10.87,-24.34,332.13,"Town in Russia."
Bosporos Planum,729.58,-33.87,295.51,"Classical albedo feature name."
Bosporos Rupes,531.42,-42.74,302.45,"Classical albedo feature name."
Bouguer,107.78,-18.46,27.27,"Pierre; French physicist-hydrographer (1698-1758)."
Boulia,9.99,-22.89,111.32,"Town in Queensland
Bozkir,79.89,-44.14,327.82,"Town in Turkey."
Brashear,77.45,-53.81,240.97,"John A.; American astronomer (1840-1920)."
Brazos Valles,387.51,-6.08,18.7,"River in Texas
Bree,28.79,37.64,149.63, 2014"
Bremerhaven,2.69,23.7,311.36,"German port."
Briault,93.06,-9.98,89.68,"P.; French astronomer (d. 1922)."
Bridgetown,1.57,21.9,312.92,"Port of Barbados."
Bristol,3,22.09,313.07,"English port."
Broach,11.31,23.51,303.11,"Town in India."
Bronkhorst,17.75,-10.7,304.79,"Town in The Netherlands."
Brush,6.49,21.7,111.34,"Town in Colorado
Bulhar,18.24,50.36,134.52,"Town in Somalia."
Bunge,70.83,-33.82,311.41,"Andrey Aleksandrovich; Russian zoologist
Burroughs,112.69,-72.29,117.1,"Edgar R.; American novelist (1875-1950)."
Burton,119.26,-13.88,203.67,"Charles E.; British astronomer (1846-1882)."
Buta,11.27,-23.25,327.59,"Town in Zaire."
Butte,12.55,-5.08,321.09,"Town in Montana
Buvinda Vallis,134.17,33.17,151.96,"Classical river in Hibernia; present Boyne River
Byala,26.23,-25.73,293.53, 2013"
Byrd,123.27,-65.22,127.83,"Richard Edwin; American aviator-explorer (1888-1975)."
Byske,12.56,-4.97,326.05,"Town in Sweden."
Cádiz,1.38,23.15,310.97,"Spanish port."
Cairns,8.73,23.56,312.54,"Town in Australia."
Calahorra,34.22,26.46,321.35,"Town in Spain."
Calamar,7.21,18.27,305.13,"Town in Colombia."
Calbe,13.14,-25.14,331.13,"Town in Germany."
Calydon Fossa,351.25,-7.43,272.02,"The son of Ares and Astynome."
Camargo,4.77,17.7,109.64,"Town in Bolivia."
Camichel,65.26,2.26,308.39, 2012"
Camiling,21.91,-0.71,322,"Town in the Philippines."
Camiri,31.36,-44.65,317.83,"Town in Bolivia."
Campbell,125.26,-54.25,165.58,"John W.; Canadian physicist (1889-1955). William W.; American astronomer (1862-1938)."
Campos,8.25,-21.8,332.19,"Town in Brazil."
Can,8.62,48.21,345.41,"Town in Turkey."
Canala,12,24.35,279.92, 2011"
Cañas,41.52,-31.19,89.86,"Town in Puerto Rico."
Canaveral,3.18,46.83,135.83,"American launch site."
Canberra,3.1,47.2,132.66,"Australian tracking site."
Candor,0,2.96,285,"Means ""Blaze"" or ""White"" in Latin."
Candor Chaos,0,-6.94,287.42,"From albedo feature at 5N
Candor Chasma,810.61,-6.53,289.22,"Classical albedo feature name."
Candor Colles,37.38,-6.63,284.43, 2012"
Candor Labes,134.94,-4.79,284.01,"From classical albedo feature at 5N
Candor Mensa,116.56,-6.26,286.48,"Classical albedo feature."
Candor Sulci,73.36,-4.92,283.15, 2013"
Cangwu,13.64,41.85,270.41,"Town in China."
Canillo,33.93,10.23,116.48, 2009"
Cankuzo,48.45,-19.42,52.03, 2010"
Canso,26.42,21.36,299.38,"Town in Nova Scotia
Cantoura,51.59,14.84,308.28,"Town in Venezuela."
Capen,68.99,6.58,14.31, 2008"
Capri Chasma,1471.56,-8.27,317.93,"Classical albedo feature name."
Capri Mensa,282.35,-13.73,312.81,"Classical albedo feature name."
Caralis Chaos,103.35,-37.2,178.6, 2014"
Cardona,13.7,-19.65,328.02, 2015"
Cartago,36.57,-23.25,342.03,"Town in Costa Rica."
Casius,0,39.67,100,"Epithet of Zeus; for his two sanctuaries in Egypt/Arabia and Syria."
Cassini,408.23,23.35,32.11,"Giovanni; Italian astronomer (1625-1712)."
Castril,2.19,-14.7,175.3,"Town in Spain."
Cave,8.2,21.61,324.36,"Town in New Zealand."
Cavi Angusti,640.04,-78.16,285.25,"Classical albedo feature name."
[Cavi Frigorēs],228,-78.97,300.2,"From classical albedo feature Polus Frigoris
[Cavi Novi],535,-67.26,30,"Classical albedo feature name; (dropped 1984)."
Caxias,25.88,-28.95,259.32,"Town in Brazil."
Cayon,27.31,-35.93,113.62, 2012"
Cebrenia,0,49.67,150,"Main country of the Trojan Plain."
Cecropia,0,59.71,40,"Old name for Acropolis; used to mean Athens."
Cefalù,5.53,23.64,321.11, 2006"
Centauri Montes,271,-38.67,95.52,"Albedo feature Centauri Lacus."
Ceraunius,0,19.78,267,"""Thunderclap""; named for Ceraunii Mountains on coast of Epirus
Ceraunius Catena,50.49,37.1,251.91,"Named for classical albedo feature at 35N 96W."
Ceraunius Fossae,1166.63,27,249.85,"Classical albedo feature name"
Ceraunius Tholus,128.58,24,262.75,"Classical albedo feature name."
Cerberus,0,14.83,155,"Hound who had 3 heads; guarded gates of hell."
Cerberus Dorsa,623.05,-13.74,105.29,"Classical albedo feature name."
Cerberus Fossae,1235,11.28,166.37,"From albedo feature at 10n
Cerberus Palus,466.68,5.78,148.15,"Classical albedo feature name."
[Cerberus Rupēs],1254,8.3,164.6,"From albedo feature at 10n
Cerberus Tholi,698,4.48,164.41,"Classical albedo feature name."
Cerulli,114.28,32.2,22.12,"Vicenzo; Italian astronomer (1859-1927)."
Ceti Chasma,49.77,-5.03,291.63,"From albedo feature at 10S
Ceti Labes,11.05,-6.78,284.27, 2012"
Ceti Mensa,133.95,-5.89,283.98,"Albedo feature Ceti Lacus."
Chafe,4.67,15.1,102.41,"Town in Nigeria."
Chalce,0,-49.67,360,"Old name of island of Khalki
Chalce Fossa,33.97,-51.67,320.41,"Albedo name."
Chalce Montes,100,-53.72,322.35,"Albedo name."
Chalcoporos Rupēs,404.98,-55.64,20.57,"From albedo feature at 50S
Chaman,47.92,-60.86,50.96, 2006"
Chamberlin,120.25,-65.84,235.71,"Thomas C.; American geologist (1843-1928)."
Changsŏng,33.54,23.47,302.66,"Town in the Democratic People's Republic of Korea."
Chapais,36.67,-22.35,339.45,"Town in Quebec
Charis Dorsum,251,-55.86,318.53,"One of the Graces."
Charitum Montes,933.54,-58.1,319.71,"Classical albedo feature name."
[Charitum Tholus],0,-54.68,319,"Changed to Oceanidum Mons
Charleston,1.96,22.63,312.2,"American colonial town (South Carolina)."
Charlier,106.28,-68.56,191.53,"Carl V.; Swedish astronomer (1862-1934)."
Charlieu,18.63,38.15,276.01,"Town in France."
Charybdis Scopulus,551.26,-24.14,20.08,"From albedo feature at 19S
Chasma Australe,352.61,-82.35,95.03,"Classical albedo feature name."
Chasma Boreale,459.88,82.54,312.36,"Classical albedo feature name."
Chatturat,7.84,35.38,265.06,"Town in Thailand."
Chauk,9.97,23.35,304.09,"Town in Burma."
Cheb,8.28,-24.2,340.56,"Town in Czechoslovakia."
Chefu,11.27,-22.91,112.24,"Town in Mozambique."
Chekalin,87.78,-24.28,333.19,"Town in Russia."
Chersonesus,0,-49.67,100,"Gallipoli Peninsula."
Chia,91.91,1.57,300.35,"Town in Spain."
Chico Valles,446.35,-66.77,207.77,"River in Argentina."
Chimbote,62.86,-1.42,320.32,"Town in Peru."
Chincoteague,34.03,41.2,124.12,"Town in Virginia
Chinju,65.71,-4.52,317.86,"Town in the Republic of Korea."
Chinook,18.1,22.5,304.54,"Town in Alberta
Chive,9.1,21.68,303.99,"Town in Bolivia."
Choctaw,23.96,-41.19,322.76,"Town in Ohio
Chom,5.58,38.57,357.48,"Town in China (Tibet)."
Choyr,36.42,-32.43,18.72, 2015"
Chronius Mons,56.14,-61.49,178.01, 2006"
Chryse,0,9.88,330,"Island rich in gold; region of Thailand/Malacca."
Chryse Chaos,658.89,9.86,322.81, 2008"
Chryse Colles,48.66,8.15,318.14,"Classical albedo feature name."
Chryse Planitia,1542.44,28.43,319.69,"Classical albedo feature name."
Chrysokeras,0,-49.67,250,"""Golden Horn""; Byzantine Peninsula (now Turkey)
Chupadero,8.04,6.13,83.43, 2006"
Chur,4.39,16.93,330.69,"Town in Russia."
Circle,11.8,-22.17,334.47,"Town in Montana
Clanis Valles,58,33.24,58.47,"Classical river in Etruria; present Chiana River
Claritas,0,-34.68,250,"Latin
Claritas Fossae,2030.64,-27.89,255.76,"Classical albedo feature name."
Claritas Rupes,952.87,-25.04,254.74,"From albedo feature at 25S
Clark,97.5,-55.14,226.8,"Alvan; American optician-astronomer (1804-1887)."
Clasia Vallis,147,33.77,57.04,"Classical river in Umbria
Cleia Dorsum,131.69,-54.86,314.01,"One of the Graces."
Clogh,11.2,20.56,312.33,"Town in Ireland."
Clota Vallis,114.36,-25.59,339.5,"Ancient name for present River Clyde
Clova,7.75,21.47,307.95,"Town in Quebec
Cluny,14.84,-23.86,332.7,"Town in France."
Cobalt,10.53,-25.79,332.97,"Town in Connecticut
Coblentz,101.75,-54.9,269.69,"William W.; American physicist (1873-1962)."
Cobres,93.76,-11.7,206.4,"Village in Argentina."
Coimbra,34.53,4.18,354.69, 2008"
Colles Nili,653.67,38.72,62.88,"From classical albedo feature Portus Nili
Coloe Fossae,575.89,36.65,56.78,"Classical albedo feature name."
Colón,1.36,22.75,312.93,"Port of Panama."
Columbia Valles,84.82,-9.44,317.1,"River in Washington
Columbus,112.6,-29.29,194.02,"Christopher; Italian explorer (1451-1506)."
Comas Sola,120.24,-19.59,201.49,"Jose; Spanish astronomer (1868-1937)."
Conches,20.89,-4.22,325.8,"Town in France."
Concord,20.46,16.53,325.98,"Town in Massachusetts
Coogoon Valles,300,17.19,338.26,"River in Australia."
Cooma,17.85,-23.69,251.65,"Town in New South Wales
Copais Palus,0,54.68,80,"Named for marsh north of Mt. Helicon in Boeotia
Copernicus,301.83,-48.84,191.17,"Nicolaus; Polish astronomer (1473-1543)."
Coprates,0,-14.83,295,"Old name for Persian River Ab-I-Diz."
Coprates Catena,302.06,-15,297.91,"Classical albedo feature name."
Coprates Chasma,958.31,-13.37,299.26,"Classical albedo feature name."
Coprates Labes,61.97,-11.82,292.21,"From albedo feature at 14S
Coprates Montes,350,-13,294.61, 2015"
Coracis Fossae,748.96,-35.82,279.14,"From albedo feature at 46S
Corby,6.62,42.88,137.56,"Town in England."
Corinto,13.69,16.95,141.71, 2008"
Coronae Montes,247.4,-34.31,86.11,"Albedo feature name."
Coronae Planum,265,-32.68,65.41, 2015"
Coronae Scopulus,245.24,-33.26,64.94,"From albedo feature at 26S
Corozal,8.33,-38.79,159.42, 2011"
Cost,11.07,14.98,104.02,"Town in Texas
Cray,6.98,44.1,343.88,"Town in England."
Creel,9.19,-6.05,321.15,"Town in Mexico."
Crewe,3.68,-24.84,340.47,"Town in England."
Crivitz,6.19,-14.55,174.79,"Town in Germany."
Crommelin,110.08,5.08,349.86,"Andrew C.; British astronomer (1865-1939)."
Cross,66.57,-30.2,202.31, 2009"
Crotone,6.28,82.21,290.69,"Town in Italy."
Cruls,87.89,-42.91,163.03,"Luiz; Brazilian astronomer (1848-1908)."
Cruz,5.33,38.46,358.03,"Town in Venezuela."
Cue,10.54,-35.84,93.23,"Town in Western Australia."
Culter,4.87,-8.84,306.07,"Village near Aberdeen
Curie,111.11,28.78,355.25,"Pierre; French physicist-chemist (1859-1906)."
Cusus Valles,250.24,14.05,50.37,"Classical name for modern Hron River in Czechoslovakia."
Cyane Catena,204.06,36.25,241.7,"Classical albedo feature Cyane Fons."
Cyane Fossae,913.17,31.25,238.83,"Classical albedo feature name."
Cyane Sulci,335.94,25.4,231.34,"Classical albedo feature name."
Cyclopia,0,-4.94,130,"Land where Cyclops dwelt."
Cydnus Rupēs,1550.81,52.53,112.21,"From albedo feature at 70N
Cydonia,0,39.67,360,"Poetic term for Crete."
Cydonia Colles,362.78,39.07,347.78,"Named for classical albedo feature at 50N
Cydonia Labyrinthus,344.05,41.29,347.94,"Named for classical albedo feature at 50N
Cydonia Mensae,764.96,34.56,347.67,"From albedo feature at 50N
Cypress,14.67,-47.28,312.65,"Town in Illinois
Daan,12.22,-40.48,91.58,"Town in China."
Daedalia Planum,1922.02,-18.35,234.05,"Classical albedo feature name."
Daet,10.58,-7.29,318.2,"Town in the Philippines."
Daga Vallis,49.86,-12.07,317.58,"River in Burma."
Daly,79.72,-66.29,336.88,"Reginald A.; Canadian-born American geologist (1871-1957)."
